"Date","Price"
2024-02-02,185.85
2024-01-02,186.86
2024-12-01,185.92
2024-11-01,185.59
2024-10-01,186.19
2024-09-01,185.14
2024-08-01,185.56
2024-05-01,181.18
2024-04-01,181.91
2024-03-01,184.25
2024-02-01,185.64
2023-12-12,194.71
2023-11-12,193.18
2023-08-12,195.71
2023-07-12,194.27
2023-06-12,192.32
2023-05-12,193.42
2023-04-12,189.43
2023-01-12,191.24
2023-10-11,186.4
2023-09-11,182.41
2023-08-11,182.89
2023-07-11,181.82
2023-06-11,179.23
2023-03-11,176.65
2023-02-11,177.57
2023-01-11,173.97
2023-12-10,180.71
2023-11-10,179.8
2023-10-10,178.39
2023-09-10,178.99
2023-06-10,177.49
2023-05-10,174.91
2023-04-10,173.66
2023-03-10,172.4
2023-02-10,173.75
2023-12-09,176.3
2023-11-09,179.36
2023-08-09,178.18
2023-07-09,177.56
2023-06-09,182.91
2023-05-09,189.7
2023-01-09,189.46
2023-11-08,177.79
2023-10-08,177.97
2023-09-08,178.19
2023-08-08,179.8
2023-07-08,178.85
2023-04-08,181.99
2023-03-08,191.17
2023-02-08,192.58
2023-01-08,195.6
2023-12-07,189.77
2023-11-07,188.08
2023-10-07,188.61
2023-07-07,190.68
2023-06-07,191.81
2023-05-07,191.33
2023-03-07,192.46
2023-12-06,183.79
2023-09-06,180.96
2023-08-06,180.57
2023-07-06,177.82
2023-06-06,179.21
2023-05-06,179.58
2023-02-06,180.95
2023-01-06,180.09
2023-12-05,172.57
2023-11-05,173.75
2023-10-05,173.55
2023-09-05,171.77
2023-08-05,173.5
2023-05-05,173.57
2023-04-05,165.79
2023-03-05,167.45
2023-02-05,168.54
2023-01-05,169.59
2023-12-04,160.1
2023-11-04,160.8
2023-10-04,162.03
2023-06-04,164.66
2023-05-04,163.76
2023-04-04,165.63
2023-03-04,166.17
2023-10-03,148.5
2023-09-03,150.59
2023-08-03,152.87
2023-07-03,151.6
2023-06-03,153.83
2023-03-03,151.03
2023-02-03,145.91
2023-01-03,145.31
2023-10-02,151.01
2023-09-02,150.87
2023-08-02,151.92
2023-07-02,154.65
2023-06-02,151.73
2023-03-02,154.5
2023-02-02,150.82
2023-01-02,145.43
2023-12-01,133.41
