"Date","Price"
2024-02-02,142.38
2024-01-02,141.16
2024-12-01,142.65
2024-11-01,142.08
2024-10-01,142.28
2024-09-01,140.95
2024-08-01,138.84
2024-05-01,135.73
2024-04-01,136.39
2024-03-01,138.92
2024-02-01,138.17
2023-12-12,132.52
2023-11-12,133.29
2023-08-12,134.99
2023-07-12,136.93
2023-06-12,130.02
2023-05-12,130.99
2023-04-12,129.27
2023-01-12,131.86
2023-10-11,132.59
2023-09-11,130.24
2023-08-11,131.84
2023-07-11,130.97
2023-06-11,130.25
2023-03-11,129.1
2023-02-11,127.49
2023-01-11,126.45
2023-12-10,138.97
2023-11-10,140.55
2023-10-10,138.06
2023-09-10,138.42
2023-06-10,137.58
2023-05-10,135.07
2023-04-10,135.24
2023-03-10,132.43
2023-02-10,134.17
2023-12-09,135.34
2023-11-09,136.92
2023-08-09,136.38
2023-07-09,135.26
2023-06-09,134.46
2023-05-09,135.77
2023-01-09,135.66
2023-11-08,129.56
2023-10-08,129.69
2023-09-08,129.66
2023-08-08,131.4
2023-07-08,131.53
2023-04-08,128.11
2023-03-08,128.45
2023-02-08,128.38
2023-01-08,131.55
2023-12-07,118.93
2023-11-07,117.14
2023-10-07,116.45
2023-07-07,119.48
2023-06-07,120.11
2023-05-07,121.75
2023-03-07,119.9
2023-12-06,123.64
2023-09-06,122.23
2023-08-06,122.14
2023-07-06,122.5
2023-06-06,127.31
2023-05-06,126.01
2023-02-06,124.67
2023-01-06,123.72
2023-12-05,117.51
2023-11-05,116.57
2023-10-05,111.75
2023-09-05,107.35
2023-08-05,107.77
2023-05-05,105.57
2023-04-05,104.69
2023-03-05,105.41
2023-02-05,105.32
2023-01-05,107.2
2023-12-04,104.64
2023-11-04,105.35
2023-10-04,106.44
2023-06-04,108.42
2023-05-04,104.47
2023-04-04,104.72
2023-03-04,104.36
2023-10-03,90.63
2023-09-03,92.32
2023-08-03,94.25
2023-07-03,93.86
2023-06-03,95.13
2023-03-03,93.65
2023-02-03,92
2023-01-03,90.36
2023-10-02,94.57
2023-09-02,95.01
2023-08-02,99.37
2023-07-02,107.64
2023-06-02,102.9
2023-03-02,104.78
2023-02-02,107.74
2023-01-02,100.43
2023-12-01,91.13
2023-11-01,91.52
2023-10-01,88.42
2023-09-01,88.02
2023-06-01,87.34
2023-05-01,86.2
2023-04-01,88.08
2023-03-01,89.12
2022-12-12,93.31
2022-09-12,92.83
2022-08-12,93.71
2022-07-12,94.94
2022-06-12,96.98
2022-05-12,99.48
2022-02-12,100.44
2022-01-12,100.99
2022-11-11,96.41
2022-10-11,93.94
2022-09-11,87.32
2022-08-11,88.9
2022-07-11,88.49
2022-04-11,86.58
2022-03-11,83.43
2022-02-11,86.97
2022-01-11,90.47
2022-12-10,97.56
2022-11-10,97.18
2022-10-10,97.86
2022-07-10,98.68
2022-06-10,101.42
2022-05-10,101.43
2022-04-10,101.64
2022-03-10,98.64
2022-12-09,110.86
2022-09-09,110.65
2022-08-09,108.38
2022-07-09,109.45
2022-02-09,107.85
2022-01-09,109.74
2022-12-08,121.68
2022-11-08,118.84
2022-10-08,119.7
2022-09-08,116.63
2022-08-08,117.3
2022-05-08,117.47
2022-04-08,118.19
2022-03-08,118.08
2022-02-08,115.13
2022-01-08,114.86
2022-12-07,114.02
2022-11-07,115.68
2022-08-07,119.35
2022-07-07,118.78
2022-06-07,114.57
2022-01-07,108.74
2022-10-06,111.16
2022-09-06,114.84
2022-08-06,117.19
2022-07-06,117.15
2022-06-06,116.82
2022-03-06,114.54
2022-02-06,117.62
2022-01-06,113.89
2022-12-05,112.84
2022-11-05,113.6
2022-10-05,114.39
2022-09-05,112.51
2022-06-05,115.75
2022-05-05,116.51
2022-04-05,122.26
2022-03-05,117.33
2022-02-05,116.58
2022-12-04,127.71
2022-11-04,128.82
2022-08-04,133.29
2022-07-04,135.89
2022-06-04,136.55
2022-05-04,140.59
2022-04-04,142.97
2022-01-04,140.15
2022-11-03,129.87
2022-10-03,132.43
2022-09-03,133.42
2022-08-03,127.1
2022-07-03,126.38
2022-04-03,131.91
2022-03-03,133.9
2022-02-03,134.57
2022-01-03,134.06
2022-11-02,134.28
2022-10-02,138.62
2022-09-02,141.59
2022-08-02,139.4
2022-07-02,139.2
2022-04-02,143.29
2022-03-02,143.09
2022-02-02,148
