"Date","Price"
2024-02-02,474.99
2024-01-02,394.78
2024-12-01,374.49
2024-11-01,369.67
2024-10-01,370.47
2024-09-01,357.43
2024-08-01,358.66
2024-05-01,351.95
2024-04-01,347.12
2024-03-01,344.47
2024-02-01,346.29
2023-12-12,334.22
2023-11-12,325.28
2023-08-12,332.75
2023-07-12,326.59
2023-06-12,317.45
2023-05-12,318.29
2023-04-12,320.02
2023-01-12,324.82
2023-10-11,328.77
2023-09-11,320.55
2023-08-11,319.78
2023-07-11,318.82
2023-06-11,315.8
2023-03-11,314.6
2023-02-11,310.87
2023-01-11,311.85
2023-12-10,324.16
2023-11-10,327.82
2023-10-10,321.84
2023-09-10,318.36
2023-06-10,315.43
2023-05-10,304.79
2023-04-10,305.58
2023-03-10,300.94
2023-02-10,306.82
2023-12-09,301.66
2023-11-09,307.56
2023-08-09,297.89
2023-07-09,298.67
2023-06-09,299.17
2023-05-09,300.15
2023-01-09,296.38
2023-11-08,301.64
2023-10-08,305.74
2023-09-08,305.21
2023-08-08,312.64
2023-07-08,316.56
2023-04-08,310.73
2023-03-08,313.19
2023-02-08,314.31
2023-01-08,322.71
2023-12-07,309.34
2023-11-07,298.29
2023-10-07,294.1
2023-07-07,290.53
2023-06-07,291.99
2023-05-07,294.37
2023-03-07,286.02
2023-12-06,271.05
2023-09-06,264.95
2023-08-06,264.58
2023-07-06,263.6
2023-06-06,271.12
2023-05-06,271.39
2023-02-06,272.61
2023-01-06,272.61
2023-12-05,233.81
2023-11-05,235.79
2023-10-05,233.08
2023-09-05,233.37
2023-08-05,233.27
2023-05-05,232.78
2023-04-05,233.52
2023-03-05,237.03
2023-02-05,239.24
2023-01-05,243.18
2023-12-04,214
2023-11-04,213.85
2023-10-04,214.75
2023-06-04,216.1
2023-05-04,211.48
2023-04-04,214.72
2023-03-04,213.07
2023-10-03,179.51
2023-09-03,181.69
2023-08-03,184.97
2023-07-03,184.51
2023-06-03,184.9
2023-03-03,185.25
2023-02-03,174.53
2023-01-03,173.42
2023-10-02,174.15
2023-09-02,177.92
2023-08-02,183.43
2023-07-02,191.62
2023-06-02,186.06
2023-03-02,186.53
2023-02-02,188.77
2023-01-02,153.12
2023-12-01,136.71
2023-11-01,132.89
2023-10-01,132.99
2023-09-01,129.47
2023-06-01,130.02
2023-05-01,126.94
2023-04-01,127.37
2023-03-01,124.74
2022-12-12,114.71
2022-09-12,115.9
2022-08-12,115.33
2022-07-12,113.93
2022-06-12,114.12
2022-05-12,122.43
2022-02-12,123.49
2022-01-12,120.44
2022-11-11,113.02
2022-10-11,111.87
2022-09-11,101.47
2022-08-11,96.47
2022-07-11,96.72
2022-04-11,90.79
2022-03-11,88.91
2022-02-11,90.54
2022-01-11,95.2
2022-12-10,127.5
2022-11-10,128.54
2022-10-10,133.79
2022-07-10,133.45
2022-06-10,139.07
2022-05-10,138.98
2022-04-10,140.28
2022-03-10,138.61
2022-12-09,168.96
2022-09-09,169.15
2022-08-09,162.06
2022-07-09,160.39
2022-02-09,160.32
2022-01-09,165.36
2022-12-08,180.5
2022-11-08,177.49
2022-10-08,178.34
2022-09-08,168.53
2022-08-08,170.25
2022-05-08,167.11
2022-04-08,170.57
2022-03-08,168.8
2022-02-08,160.19
2022-01-08,159.93
2022-12-07,163.27
2022-11-07,162.88
2022-08-07,170.88
2022-07-07,172.19
2022-06-07,169.77
2022-01-07,160.03
2022-10-06,175.57
2022-09-06,184
2022-08-06,196.64
2022-07-06,195.65
2022-06-06,194.25
2022-03-06,190.78
2022-02-06,198.86
2022-01-06,188.64
2022-12-05,191.24
2022-11-05,188.74
2022-10-05,197.65
2022-09-05,196.21
2022-06-05,203.77
2022-05-05,208.28
2022-04-05,223.41
2022-03-05,212.03
2022-02-05,211.13
2022-12-04,214.14
2022-11-04,216.46
2022-08-04,222.33
2022-07-04,222.95
2022-06-04,223.3
2022-05-04,231.84
2022-04-04,233.89
2022-01-04,224.85
2022-11-03,187.61
2022-10-03,195.21
2022-09-03,198.5
2022-08-03,190.29
2022-07-03,187.47
2022-04-03,200.06
2022-03-03,202.97
2022-02-03,208.11
2022-01-03,203.49
2022-11-02,219.55
2022-10-02,228.07
2022-09-02,232
2022-08-02,220.18
2022-07-02,224.91
2022-04-02,237.09
2022-03-02,237.76
2022-02-02,323
2022-01-02,319
2022-12-01,333.26
2022-11-01,334.37
2022-10-01,328.07
2022-07-01,331.79
2022-06-01,332.46
2022-05-01,324.17
2022-04-01,336.53
2022-03-01,338.54
2021-10-12,329.75
2021-09-12,329.82
2021-08-12,330.56
2021-07-12,322.81
2021-06-12,317.87
2021-03-12,306.84
2021-02-12,310.39
2021-01-12,310.6
2021-12-11,340.89
2021-11-11,327.74
2021-10-11,327.64
2021-09-11,335.37
2021-08-11,338.62
2021-05-11,341.13
2021-04-11,335.85
2021-03-11,331.62
2021-02-11,328.08
2021-01-11,329.98
2021-12-10,323.77
2021-11-10,325.45
2021-08-10,330.05
2021-07-10,329.22
2021-06-10,333.64
2021-05-10,332.96
2021-04-10,326.23
2021-01-10,343.01
2021-10-09,378.69
2021-09-09,378
2021-08-09,377.57
2021-03-09,376.26
2021-02-09,375.28
2021-01-09,382.05
2021-12-08,362.65
2021-11-08,359.96
2021-10-08,361.13
2021-09-08,361.61
2021-06-08,363.51
2021-05-08,362.97
2021-04-08,358.92
2021-03-08,351.24
2021-02-08,351.95
2021-12-07,353.16
2021-09-07,350.42
2021-08-07,345.65
2021-07-07,350.49
2021-02-07,354.7
2021-01-07,354.39
2021-11-06,331.26
2021-10-06,332.46
2021-09-06,330.25
2021-08-06,333.68
2021-07-06,336.58
2021-04-06,330.35
2021-03-06,326.04
2021-02-06,329.15
2021-12-05,302.55
2021-11-05,306.53
2021-10-05,305.97
2021-07-05,319.08
2021-06-05,320.02
2021-05-05,315.02
2021-04-05,318.36
2021-03-05,322.58
2021-12-04,311.54
2021-09-04,312.46
2021-08-04,313.02
2021-07-04,313.09
2021-06-04,306.26
2021-05-04,308.91
2021-01-04,298.66
2021-12-03,268.4
2021-11-03,273.88
2021-10-03,264.9
2021-09-03,265.74
2021-08-03,255.31
2021-05-03,264.28
2021-04-03,257.64
2021-03-03,255.41
2021-02-03,259
2021-01-03,264.91
2021-12-02,270.5
2021-11-02,270.39
2021-10-02,271.87
2021-09-02,269.45
2021-08-02,266.58
2021-05-02,268.1
2021-04-02,266.49
2021-03-02,266.65
2021-02-02,267.08
2021-01-02,262.01
2021-12-01,251.09
2021-11-01,256.84
2021-08-01,267.57
2021-07-01,268.74
2021-06-01,263.31
2021-05-01,270.97
2021-04-01,268.94
2020-11-12,273.55
2020-10-12,277.12
2020-09-12,277.92
2020-08-12,283.4
2020-07-12,285.58
2020-04-12,279.7
2020-03-12,281.85
2020-02-12,287.52
2020-01-12,286.55
2020-12-11,275.08
2020-11-11,276.48
2020-10-11,272.43
2020-09-11,278.77
2020-06-11,293.41
2020-05-11,294.68
2020-04-11,287.38
2020-03-11,265.3
2020-02-11,261.36
2020-12-10,275.75
2020-09-10,264.45
2020-08-10,263.76
2020-07-10,258.12
2020-06-10,258.66
2020-05-10,264.65
2020-02-10,259.94
2020-01-10,266.63
2020-11-09,266.61
2020-10-09,268.09
2020-09-09,273.72
2020-04-09,282.73
2020-03-09,291.12
2020-02-09,302.5
2020-01-09,295.44
2020-12-08,259.89
2020-11-08,256.13
2020-10-08,263
2020-07-08,268.44
2020-06-08,265.28
2020-05-08,249.12
2020-04-08,249.83
2020-03-08,251.96
2020-10-07,245.07
2020-09-07,244.5
2020-08-07,243.58
2020-07-07,240.86
2020-02-07,233.42
2020-01-07,237.55
2020-12-06,228.58
2020-11-06,224.43
2020-10-06,236.73
2020-09-06,238.67
2020-08-06,231.4
2020-05-06,230.77
2020-04-06,226.29
2020-03-06,230.16
2020-02-06,232.72
2020-01-06,231.91
2020-12-05,210.1
2020-11-05,213.18
2020-08-05,212.35
2020-07-05,211.26
2020-06-05,208.47
2020-05-05,207.07
2020-04-05,205.26
2020-01-05,202.27
2020-09-04,175.19
2020-08-04,174.28
2020-07-04,168.83
2020-06-04,165.55
2020-03-04,154.18
2020-02-04,158.19
2020-01-04,159.6
2020-12-03,154.47
2020-11-03,170.24
2020-10-03,178.19
2020-09-03,169.5
2020-06-03,181.09
2020-05-03,185.17
2020-04-03,191.76
2020-03-03,185.89
2020-02-03,196.44
2020-12-02,210.76
2020-11-02,207.19
2020-10-02,213.06
2020-07-02,212.33
2020-06-02,210.85
2020-05-02,210.11
2020-04-02,209.83
2020-03-02,204.19
2020-10-01,218.06
2020-09-01,218.3
2020-08-01,215.22
2020-07-01,213.06
2020-06-01,212.6
2020-03-01,208.67
2020-02-01,209.78
