"Date","Price"
2024-02-02,411.22
2024-01-02,403.78
2024-12-01,388.47
2024-11-01,384.63
2024-10-01,382.77
2024-09-01,375.79
2024-08-01,374.69
2024-05-01,367.75
2024-04-01,367.94
2024-03-01,370.6
2024-02-01,370.87
2023-12-12,374.38
2023-11-12,371.3
2023-08-12,374.23
2023-07-12,370.95
2023-06-12,368.8
2023-05-12,372.52
2023-04-12,369.14
2023-01-12,374.51
2023-10-11,369.67
2023-09-11,360.69
2023-08-11,363.2
2023-07-11,360.53
2023-06-11,356.53
2023-03-11,352.8
2023-02-11,348.32
2023-01-11,346.07
2023-12-10,331.16
2023-11-10,332.42
2023-10-10,328.39
2023-09-10,329.82
2023-06-10,327.26
2023-05-10,319.36
2023-04-10,318.95
2023-03-10,313.39
2023-02-10,321.8
2023-12-09,331.77
2023-11-09,337.94
2023-08-09,334.27
2023-07-09,329.91
2023-06-09,332.88
2023-05-09,333.55
2023-01-09,328.66
2023-11-08,321.01
2023-10-08,322.93
2023-09-08,322.23
2023-08-08,326.05
2023-07-08,330.11
2023-04-08,327.78
2023-03-08,326.66
2023-02-08,327.5
2023-01-08,336.34
2023-12-07,337.2
2023-11-07,332.47
2023-10-07,331.83
2023-07-07,337.22
2023-06-07,341.27
2023-05-07,338.15
2023-03-07,337.99
2023-12-06,331.85
2023-09-06,326.79
2023-08-06,325.26
2023-07-06,323.38
2023-06-06,333.68
2023-05-06,335.94
2023-02-06,335.4
2023-01-06,332.58
2023-12-05,308.97
2023-11-05,310.11
2023-10-05,312.31
2023-09-05,307
2023-08-05,308.65
2023-05-05,310.65
2023-04-05,305.41
2023-03-05,304.4
2023-02-05,305.41
2023-01-05,305.56
2023-12-04,283.49
2023-11-04,282.83
2023-10-04,289.39
2023-06-04,291.6
2023-05-04,284.34
2023-04-04,287.18
2023-03-04,287.23
2023-10-03,248.59
2023-09-03,252.32
2023-08-03,253.7
2023-07-03,254.15
2023-06-03,256.87
2023-03-03,255.29
2023-02-03,251.11
2023-01-03,246.27
2023-10-02,263.1
2023-09-02,263.62
2023-08-02,266.73
2023-07-02,267.56
2023-06-02,256.77
2023-03-02,258.35
2023-02-02,264.6
2023-01-02,252.75
2023-12-01,238.51
2023-11-01,235.77
2023-10-01,228.85
2023-09-01,227.12
2023-06-01,224.93
2023-05-01,222.31
2023-04-01,229.1
2023-03-01,239.58
2022-12-12,252.51
2022-09-12,245.42
2022-08-12,247.4
2022-07-12,244.37
2022-06-12,245.12
2022-05-12,250.2
2022-02-12,255.02
2022-01-12,254.69
2022-11-11,247.11
2022-10-11,242.98
2022-09-11,224.51
2022-08-11,228.87
2022-07-11,227.87
2022-04-11,221.39
2022-03-11,214.25
2022-02-11,220.1
2022-01-11,228.17
2022-12-10,225.75
2022-11-10,225.41
2022-10-10,229.25
2022-07-10,234.24
2022-06-10,246.79
2022-05-10,249.2
2022-04-10,248.88
2022-03-10,240.74
2022-12-09,266.65
2022-09-09,264.46
2022-08-09,258.52
2022-07-09,258.09
