"Date","Price"
2024-02-02,564.64
2024-01-02,567.51
2024-12-01,492.16
2024-11-01,492.23
2024-10-01,478.33
2024-09-01,482.09
2024-08-01,485.03
2024-05-01,474.06
2024-04-01,474.67
2024-03-01,470.26
2024-02-01,468.5
2023-12-12,463
2023-11-12,459.89
2023-08-12,453.76
2023-07-12,452
2023-06-12,446.73
2023-05-12,455.15
2023-04-12,453.9
2023-01-12,465.74
2023-10-11,447.24
2023-09-11,435.15
2023-08-11,436.65
2023-07-11,434.61
2023-06-11,434.74
2023-03-11,432.36
2023-02-11,424.71
2023-01-11,420.19
2023-12-10,361.2
2023-11-10,365.93
2023-10-10,373.32
2023-09-10,385.95
2023-06-10,381.51
2023-05-10,372.59
2023-04-10,376.9
2023-03-10,376.75
2023-02-10,380.33
2023-12-09,434.69
2023-11-09,445.36
2023-08-09,442.8
2023-07-09,443.14
2023-06-09,445.76
2023-05-09,448.68
2023-01-09,439.88
2023-11-08,421.66
2023-10-08,429.98
2023-09-08,428.9
2023-08-08,438.3
2023-07-08,440.76
2023-04-08,431.6
2023-03-08,431
2023-02-08,429.7
2023-01-08,438.62
2023-12-07,444.05
2023-11-07,440.21
2023-10-07,441.71
2023-07-07,438.1
2023-06-07,438.84
2023-05-07,445.9
2023-03-07,441.44
2023-12-06,423.97
2023-09-06,420.02
2023-08-06,409.37
2023-07-06,399.77
2023-06-06,399.29
2023-05-06,403.54
2023-02-06,400.47
2023-01-06,403.13
2023-12-05,339.89
2023-11-05,344.76
2023-10-05,335.42
2023-09-05,332.14
2023-08-05,331.21
2023-05-05,322.76
2023-04-05,320.78
2023-03-05,319.3
2023-02-05,317.55
2023-01-05,324.12
2023-12-04,331.03
2023-11-04,338.21
2023-10-04,338.99
2023-06-04,339.33
2023-05-04,342.35
2023-04-04,346.75
2023-03-04,348.28
2023-10-03,292.76
2023-09-03,297.78
2023-08-03,311.79
2023-07-03,308.47
2023-06-03,312.03
2023-03-03,315.18
2023-02-03,311.88
2023-01-03,313.48
2023-10-02,347.36
2023-09-02,362.5
2023-08-02,366.83
2023-07-02,362.95
2023-06-02,361.48
2023-03-02,365.9
2023-02-02,366.89
2023-01-02,361.99
2023-12-01,330.13
2023-11-01,327.26
2023-10-01,327.54
2023-09-01,315.17
2023-06-01,315.55
2023-05-01,309.7
2023-04-01,309.41
2023-03-01,294.95
2022-12-12,315.18
2022-09-12,320.01
2022-08-12,310.26
2022-07-12,308.42
2022-06-12,305.56
2022-05-12,312.59
2022-02-12,320.41
2022-01-12,316.95
2022-11-11,290.13
2022-10-11,274.97
2022-09-11,254.66
2022-08-11,263.46
2022-07-11,258.6
2022-04-11,260.79
2022-03-11,269.06
2022-02-11,273
2022-01-11,286.75
2022-12-10,220.87
2022-11-10,214.29
2022-10-10,229.98
2022-07-10,224.75
2022-06-10,240.02
2022-05-10,236.73
2022-04-10,240.74
2022-03-10,239.04
2022-12-09,236.53
2022-09-09,233.57
2022-08-09,227.44
2022-07-09,228.96
2022-02-09,226.11
2022-01-09,230.04
2022-12-08,249.3
2022-11-08,242.7
2022-10-08,244.11
2022-09-08,229.94
2022-08-08,233.49
2022-05-08,226.78
2022-04-08,229.91
2022-03-08,226.73
2022-02-08,221.42
2022-01-08,226.21
2022-12-07,174.45
2022-11-07,177.34
2022-08-07,186.98
2022-07-07,189.27
2022-06-07,184.06
2022-01-07,179.95
2022-10-06,182.94
2022-09-06,192.77
2022-08-06,202.83
2022-07-06,198.61
2022-06-06,197.14
2022-03-06,198.98
