"Date","Price"
2024-02-02,661.6
2024-01-02,630.27
2024-12-01,547.1
2024-11-01,548.22
2024-10-01,543.5
2024-09-01,531.4
2024-08-01,522.53
2024-05-01,490.97
2024-04-01,479.98
2024-03-01,475.69
2024-02-01,481.68
2023-12-12,476.57
2023-11-12,466.27
2023-08-12,475.06
2023-07-12,465.96
2023-06-12,455.03
2023-05-12,465.66
2023-04-12,455.1
2023-01-12,467.65
2023-10-11,483.35
2023-09-11,469.5
2023-08-11,465.74
2023-07-11,459.55
2023-06-11,457.51
2023-03-11,450.05
2023-02-11,435.06
2023-01-11,423.25
2023-12-10,469.45
2023-11-10,468.06
2023-10-10,457.98
2023-09-10,452.73
2023-06-10,457.62
2023-05-10,446.88
2023-04-10,440.41
2023-03-10,435.17
2023-02-10,447.82
2023-12-09,448.7
2023-11-09,451.78
2023-08-09,455.72
2023-07-09,462.41
2023-06-09,470.61
2023-05-09,485.48
2023-01-09,485.09
2023-11-08,408.55
2023-10-08,423.88
2023-09-08,425.54
2023-08-08,446.64
2023-07-08,454.17
2023-04-08,446.8
2023-03-08,445.15
2023-02-08,442.69
2023-01-08,465.07
2023-12-07,439.02
2023-11-07,424.05
2023-10-07,421.8
2023-07-07,425.03
2023-06-07,421.03
2023-05-07,423.17
2023-03-07,424.13
2023-12-06,394.82
2023-09-06,387.7
2023-08-06,385.1
2023-07-06,374.75
2023-06-06,386.54
2023-05-06,391.71
2023-02-06,393.27
2023-01-06,397.7
2023-12-05,283.4
2023-11-05,285.78
2023-10-05,288.85
2023-09-05,285.71
2023-08-05,291.51
2023-05-05,286.8
2023-04-05,275.62
2023-03-05,278.02
2023-02-05,282.1
2023-01-05,289.1
2023-12-04,264.95
2023-11-04,271.69
2023-10-04,275.79
2023-06-04,270.37
2023-05-04,268.81
2023-04-04,274.53
2023-03-04,279.65
2023-10-03,229.65
2023-09-03,234.36
2023-08-03,241.81
2023-07-03,232.88
2023-06-03,235.54
2023-03-03,238.9
2023-02-03,233.14
2023-01-03,226.98
2023-10-02,212.65
2023-09-02,223.37
2023-08-02,222.05
2023-07-02,221.73
2023-06-02,210.89
2023-03-02,211
2023-02-02,217.09
2023-01-02,209.43
2023-12-01,165.11
2023-11-01,160.01
2023-10-01,159.09
2023-09-01,156.28
2023-06-01,148.59
2023-05-01,142.65
2023-04-01,147.49
2023-03-01,143.15
2022-12-12,175.35
2022-09-12,170.01
2022-08-12,171.69
2022-07-12,161.2
2022-06-12,159.87
2022-05-12,166.1
2022-02-12,168.76
2022-01-12,171.35
2022-11-11,163.27
2022-10-11,157.5
2022-09-11,137.76
2022-08-11,146.02
2022-07-11,143.01
2022-04-11,141.56
2022-03-11,134.21
2022-02-11,132.19
2022-01-11,135.43
2022-12-10,115
2022-11-10,115.86
2022-10-10,116.7
2022-07-10,120.76
2022-06-10,131.3
2022-05-10,132.09
2022-04-10,131.67
2022-03-10,125.12
2022-12-09,145.05
2022-09-09,143.87
2022-08-09,139.9
2022-07-09,137.14
2022-02-09,136.47
2022-01-09,139.37
2022-12-08,187.09
2022-11-08,179.42
2022-10-08,180.97
2022-09-08,170.86
2022-08-08,177.93
2022-05-08,189.89
2022-04-08,192.15
2022-03-08,188.93
2022-02-08,185.26
2022-01-08,184.41
2022-12-07,150.82
2022-11-07,151.52
2022-08-07,158.38
2022-07-07,158.58
2022-06-07,151.3
2022-01-07,145.23
2022-10-06,169.74
2022-09-06,180.48
2022-08-06,186.48
2022-07-06,189.26
2022-06-06,187.86
2022-03-06,187.2
2022-02-06,195.92
2022-01-06,183.2
2022-12-05,161.75
2022-11-05,166.3
2022-10-05,175.95
2022-09-05,169.5
2022-06-05,186.75
2022-05-05,188.44
2022-04-05,203.34
2022-03-05,196.02
2022-02-05,195.33
2022-12-04,215.04
2022-11-04,219.17
2022-08-04,231.19
2022-07-04,242.08
2022-06-04,244.07
2022-05-04,259.31
2022-04-04,273.6
2022-01-04,267.12
2022-11-03,221
2022-10-03,226.58
2022-09-03,230.14
2022-08-03,215.14
2022-07-03,213.52
2022-04-03,229.36
2022-03-03,237.14
2022-02-03,242.2
2022-01-03,234.77
2022-11-02,239.49
2022-10-02,258.24
2022-09-02,267.05
2022-08-02,251.08
2022-07-02,247.28
2022-04-02,243.19
2022-03-02,239.48
2022-02-02,252.42
