"Date","Price"
2024-02-02,187.91
2024-01-02,188.86
2024-12-01,218.89
2024-11-01,227.22
2024-10-01,233.94
2024-09-01,234.96
2024-08-01,240.45
2024-05-01,237.49
2024-04-01,237.93
2024-03-01,238.45
2024-02-01,248.42
2023-12-12,237.01
2023-11-12,239.74
2023-08-12,243.84
2023-07-12,242.64
2023-06-12,239.37
2023-05-12,238.72
2023-04-12,235.58
2023-01-12,238.83
2023-10-11,214.65
2023-09-11,209.98
2023-08-11,222.11
2023-07-11,222.18
2023-06-11,219.27
2023-03-11,219.96
2023-02-11,218.51
2023-01-11,205.66
2023-12-10,258.87
2023-11-10,262.99
2023-10-10,263.62
2023-09-10,259.67
2023-06-10,260.53
2023-05-10,260.05
2023-04-10,261.16
2023-03-10,246.53
2023-02-10,251.6
2023-12-09,267.48
2023-11-09,273.58
2023-08-09,248.5
2023-07-09,251.49
2023-06-09,251.92
2023-05-09,256.49
2023-01-09,245.01
2023-11-08,242.65
2023-10-08,245.34
2023-09-08,242.19
2023-08-08,249.7
2023-07-08,251.45
2023-04-08,253.86
2023-03-08,259.32
2023-02-08,254.11
2023-01-08,261.07
2023-12-07,271.99
2023-11-07,269.79
2023-10-07,269.61
2023-07-07,274.43
2023-06-07,276.54
2023-05-07,282.48
2023-03-07,279.82
2023-12-06,249.83
2023-09-06,244.4
2023-08-06,234.86
2023-07-06,224.57
2023-06-06,221.31
2023-05-06,217.61
2023-02-06,213.97
2023-01-06,207.52
2023-12-05,167.98
2023-11-05,172.08
2023-10-05,168.54
2023-09-05,169.15
2023-08-05,171.79
2023-05-05,170.06
2023-04-05,161.2
2023-03-05,160.61
2023-02-05,160.31
2023-01-05,161.83
2023-12-04,180.54
2023-11-04,186.79
2023-10-04,184.51
2023-06-04,185.06
2023-05-04,185.52
2023-04-04,192.58
2023-03-04,194.77
2023-10-03,173.44
2023-09-03,172.92
2023-08-03,182
2023-07-03,187.71
2023-06-03,193.81
2023-03-03,197.79
2023-02-03,190.9
2023-01-03,202.77
2023-10-02,196.89
2023-09-02,207.32
2023-08-02,201.29
2023-07-02,196.81
2023-06-02,194.76
2023-03-02,189.98
2023-02-02,188.27
2023-01-02,181.41
2023-12-01,123.56
2023-11-01,123.22
2023-10-01,118.85
2023-09-01,119.77
2023-06-01,113.06
2023-05-01,110.34
2023-04-01,113.64
2023-03-01,108.1
2022-12-12,167.82
2022-09-12,179.05
2022-08-12,173.44
2022-07-12,174.04
2022-06-12,179.82
2022-05-12,182.45
2022-02-12,194.86
2022-01-12,194.7
2022-11-11,195.97
2022-10-11,190.72
2022-09-11,177.59
2022-08-11,191.3
2022-07-11,197.08
2022-04-11,207.47
2022-03-11,215.31
2022-02-11,214.98
2022-01-11,227.82
2022-12-10,217.24
2022-11-10,216.5
2022-10-10,222.96
2022-07-10,223.07
2022-06-10,238.13
2022-05-10,240.81
2022-04-10,249.44
2022-03-10,242.4
2022-12-09,304.42
2022-09-09,299.68
2022-08-09,289.26
2022-07-09,283.7
2022-02-09,270.21
2022-01-09,277.16
2022-12-08,300.03
2022-11-08,286.63
2022-10-08,294.36
2022-09-08,283.33
2022-08-08,290.42
2022-05-08,288.17
2022-04-08,308.63
2022-03-08,307.4
2022-02-08,300.59
2022-01-08,297.28
2022-12-07,233.07
2022-11-07,234.34
2022-08-07,250.76
2022-07-07,244.54
2022-06-07,231.73
2022-01-07,227.26
2022-10-06,232.23
2022-09-06,239.71
2022-08-06,241.87
2022-07-06,238.89
2022-06-06,238.28
2022-03-06,234.52
2022-02-06,258.33
2022-01-06,246.79
2022-12-05,242.67
2022-11-05,244.67
2022-10-05,266.68
2022-09-05,262.37
2022-06-05,288.55
2022-05-05,291.09
2022-04-05,317.54
2022-03-05,303.08
2022-02-05,300.98
2022-12-04,328.98
2022-11-04,325.31
2022-08-04,341.83
2022-07-04,352.42
2022-06-04,348.59
2022-05-04,363.75
2022-04-04,381.82
2022-01-04,361.53
2022-11-03,265.12
2022-10-03,279.43
2022-09-03,286.32
2022-08-03,274.8
2022-07-03,268.19
2022-04-03,279.43
2022-03-03,279.76
2022-02-03,293.3
2022-01-03,288.12
2022-11-02,286.67
2022-10-02,301.52
2022-09-02,310.67
2022-08-02,307.33
2022-07-02,302.45
2022-04-02,307.77
2022-03-02,297.05
2022-02-02,301.89
2022-01-02,310.42
2022-12-01,368.74
2022-11-01,354.8
2022-10-01,352.71
2022-07-01,342.32
2022-06-01,354.9
2022-05-01,362.71
2022-04-01,383.2
2022-03-01,399.93
2021-10-12,339.01
2021-09-12,334.6
2021-08-12,356.32
2021-07-12,350.58
2021-06-12,336.34
2021-03-12,338.32
2021-02-12,361.53
2021-01-12,365
2021-12-11,344.47
2021-11-11,354.5
2021-10-11,355.98
2021-09-11,341.17
2021-08-11,387.65
2021-05-11,407.36
2021-04-11,409.97
2021-03-11,404.62
2021-02-11,390.67
2021-01-11,402.86
2021-12-10,268.57
2021-11-10,263.98
2021-08-10,261.83
2021-07-10,264.54
2021-06-10,260.92
2021-05-10,260.2
2021-04-10,260.51
2021-01-10,258.41
2021-10-09,245.42
2021-09-09,251.62
2021-08-09,251.29
2021-03-09,244.52
2021-02-09,244.13
2021-01-09,244.7
2021-12-08,240.75
2021-11-08,235.94
2021-10-08,236.66
2021-09-08,237.92
2021-06-08,233.03
2021-05-08,238.21
2021-04-08,236.97
2021-03-08,236.58
2021-02-08,236.56
2021-12-07,228.57
2021-09-07,218.98
2021-08-07,217.6
2021-07-07,214.88
2021-02-07,226.3
2021-01-07,225.97
2021-11-06,203.3
2021-10-06,203.37
2021-09-06,199.59
2021-08-06,201.2
2021-07-06,201.71
2021-04-06,199.68
2021-03-06,190.95
2021-02-06,201.71
2021-12-05,196.63
2021-11-05,205.73
2021-10-05,209.68
2021-07-05,224.12
2021-06-05,221.18
2021-05-05,223.65
2021-04-05,224.53
2021-03-05,228.3
2021-12-04,233.99
2021-09-04,225.67
2021-08-04,227.93
2021-07-04,223.66
2021-06-04,230.54
2021-05-04,230.35
2021-01-04,220.58
2021-12-03,231.24
2021-11-03,233.2
2021-10-03,222.69
2021-09-03,224.53
2021-08-03,187.67
2021-05-03,199.32
2021-04-03,207.15
2021-03-03,217.73
2021-02-03,228.81
2021-01-03,239.48
2021-12-02,272.04
2021-11-02,270.55
2021-10-02,268.27
2021-09-02,283.15
2021-08-02,287.81
2021-05-02,284.08
2021-04-02,283.33
2021-03-02,284.9
2021-02-02,290.93
2021-01-02,279.94
2021-12-01,283.15
2021-11-01,270.4
2021-08-01,293.34
2021-07-01,272.01
2021-06-01,251.99
2021-05-01,245.04
2021-04-01,243.26
2020-11-12,203.33
2020-10-12,209.02
